node_id,frame_number,dx_px,dy_px,dist_px
0,1,1.0,0.0,1.0
0,2,1.0,1.0,1.4142135623730951
0,3,1.0,1.0,1.4142135623730951
0,4,1.0,1.0,1.4142135623730951
0,5,2.0,2.0,2.8284271247461903
0,6,2.0,3.0,3.605551275463989
0,7,2.0,5.0,5.385164807134504
0,15,6.0,7.0,9.219544457292887
0,28,9.0,11.0,14.212670403551895
0,31,11.0,13.0,17.029386365926403
0,36,14.0,18.0,22.80350850198276
1,1,0.0,0.0,0.0
1,2,0.0,0.0,0.0
1,3,0.0,-1.0,1.0
1,4,1.0,0.0,1.0
1,5,1.0,0.0,1.0
1,6,1.0,0.0,1.0
1,7,1.0,1.0,1.4142135623730951
1,8,1.0,2.0,2.23606797749979
1,9,2.0,4.0,4.47213595499958
1,10,1.0,6.0,6.082762530298219
1,11,2.0,6.0,6.324555320336759
1,12,2.0,6.0,6.324555320336759
1,13,2.0,8.0,8.246211251235321
1,14,2.0,10.0,10.198039027185569
1,15,1.0,11.0,11.045361017187261
1,16,-3.0,13.0,13.341664064126334
1,17,-5.0,18.0,18.681541692269406
1,18,-3.0,19.0,19.235384061671343
1,19,-11.0,20.0,22.825424421026653
1,20,-13.0,22.0,25.553864678361276
1,21,-14.0,24.0,27.784887978899608
1,22,-15.0,27.0,30.886890422961002
1,23,-11.0,34.0,35.73513677041127
1,24,-12.0,36.0,37.94733192202055
1,25,-12.0,38.0,39.84971769034255
1,26,-12.0,41.0,42.720018726587654
1,27,-12.0,43.0,44.64302857109943
1,28,-12.0,45.0,46.57252408878007
1,29,-12.0,48.0,49.47726750741192
1,30,-10.0,52.0,52.952809179494906
1,31,-9.0,54.0,54.74486277268398
1,32,-9.0,58.0,58.69412236331676
1,33,-8.0,60.0,60.530983801686226
1,34,-8.0,64.0,64.4980619863884
1,35,-9.0,64.0,64.6297145282261
1,36,-10.0,67.0,67.7421582177598
1,37,-8.0,71.0,71.449282711585
1,44,-17.0,75.0,76.90253571892151
1,45,-16.0,71.0,72.78049189171504
1,46,-17.0,73.0,74.95331880577403
1,47,-17.0,73.0,74.95331880577403
1,48,-18.0,71.0,73.24616030891995
1,49,-18.0,71.0,73.24616030891995
1,50,-18.0,71.0,73.24616030891995
1,51,-18.0,71.0,73.24616030891995
1,52,-18.0,71.0,73.24616030891995
1,53,-18.0,71.0,73.24616030891995
1,54,-18.0,72.0,74.21590126111789
1,55,-19.0,72.0,74.46475676452586
1,56,-18.0,71.0,73.24616030891995
1,57,-17.0,71.0,73.00684899377592
1,58,-17.0,71.0,73.00684899377592
1,59,-17.0,71.0,73.00684899377592
1,60,-18.0,71.0,73.24616030891995
1,61,-18.0,71.0,73.24616030891995
1,62,-18.0,71.0,73.24616030891995
1,63,-18.0,71.0,73.24616030891995
1,64,-18.0,71.0,73.24616030891995
1,65,-18.0,71.0,73.24616030891995
1,66,-18.0,71.0,73.24616030891995
1,67,-18.0,71.0,73.24616030891995
1,68,-18.0,71.0,73.24616030891995
1,69,-19.0,71.0,73.49829930005184
1,70,-19.0,72.0,74.46475676452586
1,71,-19.0,72.0,74.46475676452586
2,1,0.0,0.0,0.0
2,2,2.0,0.0,2.0
2,3,2.0,0.0,2.0
2,4,3.0,0.0,3.0
2,5,3.0,0.0,3.0
2,6,3.0,1.0,3.1622776601683795
2,7,3.0,2.0,3.605551275463989
2,8,3.0,3.0,4.242640687119285
2,9,4.0,5.0,6.4031242374328485
2,10,4.0,7.0,8.06225774829855
2,11,3.0,8.0,8.54400374531753
2,12,3.0,8.0,8.54400374531753
2,13,3.0,10.0,10.44030650891055
2,14,4.0,12.0,12.649110640673518
2,15,4.0,14.0,14.560219778561036
2,16,5.0,16.0,16.76305461424021
2,17,4.0,19.0,19.4164878389476
3,6,0.0,1.0,1.0
3,7,0.0,2.0,2.0
3,8,-1.0,3.0,3.1622776601683795
3,9,2.0,3.0,3.605551275463989
3,10,-2.0,8.0,8.246211251235321
3,11,-2.0,8.0,8.246211251235321
3,12,-2.0,9.0,9.219544457292887
3,13,7.0,10.0,12.206555615733702
3,26,-1.0,11.0,11.045361017187261
3,32,-2.0,12.0,12.165525060596439
4,6,1.0,1.0,1.4142135623730951
4,7,2.0,2.0,2.8284271247461903
4,8,2.0,2.0,2.8284271247461903
4,9,3.0,4.0,5.0
4,10,4.0,6.0,7.211102550927978
4,11,4.0,6.0,7.211102550927978
4,12,5.0,6.0,7.810249675906654
4,13,6.0,8.0,10.0
4,14,6.0,9.0,10.816653826391969
4,15,6.0,10.0,11.661903789690601
4,16,6.0,10.0,11.661903789690601
4,17,6.0,10.0,11.661903789690601
4,18,6.0,11.0,12.529964086141668
4,19,7.0,11.0,13.038404810405298
4,20,7.0,10.0,12.206555615733702
4,21,7.0,10.0,12.206555615733702
4,22,7.0,11.0,13.038404810405298
4,23,7.0,11.0,13.038404810405298
4,24,7.0,12.0,13.892443989449804
4,25,7.0,12.0,13.892443989449804
4,26,7.0,12.0,13.892443989449804
4,27,8.0,11.0,13.601470508735444
4,28,8.0,11.0,13.601470508735444
4,29,7.0,11.0,13.038404810405298
4,30,7.0,12.0,13.892443989449804
4,31,6.0,12.0,13.416407864998739
4,32,5.0,12.0,13.0
4,33,3.0,11.0,11.40175425099138
4,34,3.0,9.0,9.486832980505138
4,35,4.0,9.0,9.848857801796104
4,36,6.0,10.0,11.661903789690601
4,38,12.0,10.0,15.620499351813308
4,39,13.0,10.0,16.401219466856727
4,40,15.0,12.0,19.209372712298546
5,1,0.0,0.0,0.0
5,2,0.0,0.0,0.0
5,3,1.0,-1.0,1.4142135623730951
5,4,1.0,0.0,1.0
5,5,2.0,-1.0,2.23606797749979
5,6,2.0,0.0,2.0
5,7,2.0,0.0,2.0
5,8,3.0,1.0,3.1622776601683795
5,9,3.0,3.0,4.242640687119285
5,10,3.0,5.0,5.830951894845301
5,11,3.0,5.0,5.830951894845301
5,12,4.0,5.0,6.4031242374328485
5,13,3.0,7.0,7.615773105863909
5,14,0.0,10.0,10.0
5,15,-3.0,12.0,12.36931687685298
5,16,-8.0,14.0,16.1245154965971
5,17,-13.0,17.0,21.400934559032695
5,18,-15.0,20.0,25.0
5,19,-17.0,21.0,27.018512172212592
5,20,-20.0,25.0,32.01562118716424
5,21,-21.0,28.0,35.0
5,22,-23.0,31.0,38.600518131237564
5,23,-22.0,33.0,39.66106403010388
5,24,-23.0,36.0,42.720018726587654
5,25,-23.0,38.0,44.41846462902562
5,26,-22.0,41.0,46.52956049652737
5,27,-22.0,44.0,49.193495504995376
5,28,-22.0,47.0,51.894122981316485
5,29,-25.0,53.0,58.60034129593445
5,30,-26.0,57.0,62.64982043070834
5,31,-26.0,60.0,65.39113089708727
5,32,-26.0,64.0,69.07966415668217
5,33,-27.0,66.0,71.30918594402827
5,34,-26.0,69.0,73.7360156233031
5,35,-26.0,73.0,77.4919350642375
5,36,-26.0,77.0,81.27115109311545
5,37,-25.0,81.0,84.77027781009096
5,38,-23.0,83.0,86.1278120005379
5,39,-23.0,85.0,88.05679985100527
5,40,-22.0,89.0,91.67878707749138
6,1,0.0,0.0,0.0
6,2,0.0,0.0,0.0
6,3,-1.0,-1.0,1.4142135623730951
6,4,0.0,0.0,0.0
6,5,-1.0,0.0,1.0
6,6,-1.0,0.0,1.0
6,7,-2.0,1.0,2.23606797749979
6,8,-2.0,2.0,2.8284271247461903
