node_id,frame_number,dx_px,dy_px,dist_px
0,1,2.0,-1.0,2.23606797749979
0,2,2.0,-1.0,2.23606797749979
0,3,2.0,-1.0,2.23606797749979
0,4,2.0,-1.0,2.23606797749979
0,5,2.0,-1.0,2.23606797749979
0,6,2.0,-1.0,2.23606797749979
0,7,2.0,-1.0,2.23606797749979
0,8,2.0,-1.0,2.23606797749979
0,9,2.0,-1.0,2.23606797749979
0,10,2.0,-1.0,2.23606797749979
0,11,2.0,-1.0,2.23606797749979
0,12,2.0,-1.0,2.23606797749979
0,13,2.0,-1.0,2.23606797749979
0,14,2.0,-1.0,2.23606797749979
0,15,1.0,-1.0,1.4142135623730951
0,16,2.0,-1.0,2.23606797749979
0,17,2.0,-1.0,2.23606797749979
0,18,2.0,-1.0,2.23606797749979
0,19,2.0,-1.0,2.23606797749979
0,20,2.0,-1.0,2.23606797749979
0,21,2.0,-1.0,2.23606797749979
0,22,3.0,-1.0,3.1622776601683795
0,23,2.0,0.0,2.0
0,24,2.0,0.0,2.0
0,26,1.0,1.0,1.4142135623730951
0,35,2.0,2.0,2.8284271247461903
0,42,0.0,2.0,2.0
0,43,0.0,2.0,2.0
0,44,-2.0,2.0,2.8284271247461903
0,45,-3.0,2.0,3.605551275463989
0,46,-4.0,2.0,4.47213595499958
0,47,-4.0,3.0,5.0
0,48,-5.0,2.0,5.385164807134504
0,49,-5.0,2.0,5.385164807134504
0,50,-5.0,3.0,5.830951894845301
0,51,-5.0,3.0,5.830951894845301
0,52,-5.0,3.0,5.830951894845301
0,53,-5.0,3.0,5.830951894845301
0,54,-5.0,3.0,5.830951894845301
0,55,-5.0,3.0,5.830951894845301
0,56,-6.0,3.0,6.708203932499369
0,57,-5.0,3.0,5.830951894845301
0,58,-6.0,3.0,6.708203932499369
0,59,-6.0,3.0,6.708203932499369
0,60,-6.0,3.0,6.708203932499369
0,62,-6.0,3.0,6.708203932499369
0,63,-6.0,3.0,6.708203932499369
0,64,-6.0,3.0,6.708203932499369
0,65,-6.0,3.0,6.708203932499369
0,66,-7.0,2.0,7.280109889280518
0,67,-7.0,3.0,7.615773105863909
0,68,-8.0,2.0,8.246211251235321
0,69,-11.0,2.0,11.180339887498949
0,70,-11.0,2.0,11.180339887498949
0,71,-12.0,2.0,12.165525060596439
0,72,-13.0,2.0,13.152946437965905
0,73,-13.0,2.0,13.152946437965905
0,74,-13.0,2.0,13.152946437965905
0,75,-14.0,2.0,14.142135623730951
0,76,-14.0,2.0,14.142135623730951
0,77,-14.0,2.0,14.142135623730951
0,78,-14.0,2.0,14.142135623730951
0,79,-14.0,2.0,14.142135623730951
