node_id,row_px,col_px
19,142,449
3,142,84
7,142,174
8,142,198
11,142,268
12,142,290
15,142,359
16,142,382
20,142,473
23,142,539
24,142,565
27,142,633
31,142,726
32,142,747
35,142,817
36,142,840
39,142,909
43,142,1000
4,143,105
28,143,656
40,143,930
0,144,15
2,182,61
5,182,130
21,182,497
25,182,589
29,182,680
30,182,700
33,182,771
37,182,862
38,182,883
41,182,952
1,183,39
6,183,151
9,183,223
10,183,241
13,183,314
14,183,333
17,183,405
18,182,425
22,182,516
26,183,608
34,182,791
42,182,974
