node_id,row_px,col_px
7,141,190
11,141,282
15,141,373
19,141,465
2,142,75
3,142,99
6,142,166
10,142,256
18,142,440
22,142,534
23,142,557
26,142,623
27,142,649
30,142,716
31,142,740
34,142,809
35,142,832
38,142,899
39,142,924
14,143,348
42,143,988
13,179,329
1,179,52
5,180,144
8,180,213
9,180,235
12,180,303
16,180,396
17,180,419
20,180,485
21,180,513
24,180,578
28,180,669
29,180,695
32,180,761
36,180,851
37,180,876
41,180,969
0,180,30
4,180,121
25,180,602
33,180,785
40,180,944
